feature,psi,js_divergence
Soil_Type30,3.086587872692968,0.04364618364186168
Soil_Type29,0.6772507731839896,0.07374668047085114
Soil_Type23,0.40138743893715534,0.043220416881756485
Soil_Type32,0.2871112779058342,0.03082026937580941
Soil_Type4,0.2664506280084872,0.01671541024610574
Soil_Type22,0.17348402069212715,0.019282494515692333
Soil_Type12,0.16511538176810617,0.017504906826787025
Aspect,0.1546396639892669,0.01979665064413622
Wilderness_Area2,0.15138802996977624,0.01630258681538469
Soil_Type13,0.13280606351946983,0.01371242652939852
Soil_Type6,0.12617760889727184,0.0085714084166623
Soil_Type2,0.11898106831826627,0.009215306678085365
Hillshade_3pm,0.11679683981764974,0.014991444623853807
Horizontal_Distance_To_Hydrology,0.1055221564877598,0.013256754852497946
Soil_Type9,0.10181656911840516,0.0015886432148581797
Soil_Type3,0.0934312120672783,0.006286519733827329
Hillshade_Noon,0.08900579075505881,0.010229613530822261
Hillshade_9am,0.08657124841273434,0.011288695725168597
Soil_Type10,0.08476781895659241,0.009909709634850246
Horizontal_Distance_To_Fire_Points,0.081948232797657,0.01401586103860573
Slope,0.05154644487348653,0.006485089399405291
Vertical_Distance_To_Hydrology,0.04689453120962128,0.0059116879472615805
Elevation,0.04120379327842248,0.008766892390627556
Soil_Type11,0.037813974039644475,0.00433452278377289
Soil_Type31,0.033043157121994154,0.004001368187485539
Soil_Type39,0.028977128288435766,0.003453625318598678
Soil_Type20,0.025512910921523916,0.0029499909124343295
Soil_Type1,0.02467358760946159,0.0024807224402957472
Soil_Type40,0.01594171246922715,0.0018969299616254584
Soil_Type38,0.0149567993162399,0.0018297010214053389
Soil_Type19,0.014388049882135162,0.0016496060284425552
Soil_Type26,0.01352056544952543,0.0014333582570180744
Soil_Type28,0.012984363653724521,0.0010808686743107375
Soil_Type18,0.010938680963188842,0.0011307798423022938
Soil_Type16,0.009813576680194605,0.001110969326951784
Wilderness_Area4,0.009279491511631195,0.001153907050146865
Wilderness_Area3,0.007972589294535717,0.0009962225470400415
Horizontal_Distance_To_Roadways,0.007656187867226735,0.0019331236888362926
Soil_Type17,0.00684945890532183,0.0008166813759008476
Soil_Type21,0.0036988659967081075,0.0004055839355530938
Soil_Type14,0.0031381022595635398,0.00034386153206997444
Soil_Type34,0.00273105599758084,0.0003257676103590628
Soil_Type25,0.002685453644317845,0.0002796210200536897
Soil_Type37,0.0012807292829613434,0.0001439564489528676
Soil_Type36,0.0010430556604753723,9.750413295661926e-05
Soil_Type27,0.0010047707489389682,0.0001229149731611156
Soil_Type33,0.0009061900003888475,0.00011322705558968523
Soil_Type8,0.0007941897918315333,8.714860043338262e-05
Soil_Type7,0.0006211501647481804,6.627822114728632e-05
Soil_Type5,0.0006057106973313527,7.503350638963157e-05
Soil_Type15,0.00019507506088535843,4.1482731346693296e-06
Wilderness_Area1,5.378086502353519e-05,6.722592428990977e-06
Soil_Type24,3.3424635248740794e-05,4.177931326334965e-06
Soil_Type35,7.632697891237676e-06,9.53995519295562e-07
