feature,psi,js_divergence
Wilderness_Area4,0.45458718705846396,0.04591250645334809
Elevation,0.4409158852450176,0.07653506762389033
Soil_Type10,0.1500211170085901,0.017311538277538556
Wilderness_Area1,0.12580314721507566,0.015632270041644872
Horizontal_Distance_To_Roadways,0.10461930403497494,0.013455154770634527
Horizontal_Distance_To_Fire_Points,0.09341034671029454,0.011975575817055798
Soil_Type2,0.08262364536519279,0.00837969441240349
Slope,0.07718519648561001,0.010494536942398453
Soil_Type4,0.07350816005101082,0.008214576652740842
Soil_Type6,0.062469163264199344,0.006499465359169381
Soil_Type29,0.05411206364904773,0.006705902566034622
Soil_Type1,0.04684154736457197,0.00430478482707705
Hillshade_9am,0.038166248464380936,0.006263840555177617
Hillshade_Noon,0.03242386939420618,0.005438429360412865
Soil_Type3,0.031943095680626345,0.0035090841026548425
Hillshade_3pm,0.029816061169252717,0.005134637409487925
Soil_Type5,0.023910852083343908,0.0021936089471615424
Soil_Type23,0.01887047307842967,0.002341978697698848
Soil_Type32,0.017371699570397945,0.0021554334753358523
Soil_Type12,0.016495335216815708,0.0020335855810552275
Soil_Type22,0.015795182338837914,0.0019516013208985255
Soil_Type39,0.015726845884760646,0.0019207013421814615
Soil_Type38,0.015303951964637536,0.0018751198268417563
Vertical_Distance_To_Hydrology,0.015149559465686205,0.0018551975765488872
Soil_Type17,0.01513525953592385,0.0017320937797269907
Soil_Type33,0.011980397469546362,0.0014885664150392176
Soil_Type40,0.010895555888897047,0.0013273517632252318
Horizontal_Distance_To_Hydrology,0.01083426552951583,0.0018020635760746114
Soil_Type31,0.009842268029681507,0.001218618947597493
Soil_Type14,0.008154416563302066,0.0007725158042586509
Soil_Type24,0.007295455448134171,0.0009041432604660221
Aspect,0.006071007964782766,0.0009467163766837894
Soil_Type37,0.004428903033530382,0.000410529271130723
Soil_Type30,0.003571634303128378,0.0004452384612312547
Wilderness_Area2,0.003283197269674082,0.000409353401781293
Soil_Type35,0.0032677122575493983,0.0003932128274244423
Soil_Type20,0.0026953124186790164,0.0003343833032801401
Soil_Type19,0.0018607903870211224,0.000229699051133262
Wilderness_Area3,0.0016240183033518322,0.00020298775033907382
Soil_Type9,0.0009314328398300176,0.00011371726476636226
Soil_Type11,0.0007816699306566403,9.757086731070085e-05
Soil_Type27,0.0004519402936319726,5.586127000810462e-05
Soil_Type13,0.00043930823684468407,5.488114942983006e-05
Soil_Type28,0.0003947024483574456,4.878090350607999e-05
Soil_Type25,0.0003110911456565261,3.8170224237330495e-05
Soil_Type34,0.00030474641236576144,3.790562891045659e-05
Soil_Type26,0.00030045885735801437,3.744727144070598e-05
Soil_Type36,0.00014514772769853322,1.7660762416923462e-05
Soil_Type21,0.00014507078416546874,1.8052223885238036e-05
Soil_Type18,0.00011495694785327571,1.4347761956629007e-05
Soil_Type7,8.679722829111975e-05,1.0601723417842068e-05
Soil_Type8,5.766720449655382e-05,7.146401752469423e-06
Soil_Type16,3.5903198126235204e-08,4.487898325564797e-09
Soil_Type15,0.0,3.976664939851931e-06
