feature,psi,js_divergence
Elevation,0.4361520463848082,0.05237869741497235
Wilderness_Area1,0.39716036267889454,0.048773639766322575
Horizontal_Distance_To_Fire_Points,0.22862737692057433,0.0321882117398774
Soil_Type29,0.16933131612690722,0.020652331137460588
Wilderness_Area4,0.1436432113696765,0.01633665640370561
Wilderness_Area2,0.11190366857774844,0.012743880418213614
Wilderness_Area3,0.09943208648860079,0.01237387189154128
Slope,0.07841464927401239,0.009989473118884457
Hillshade_Noon,0.06284543130459128,0.008011154354781901
Soil_Type10,0.06275811626006286,0.007504197525771861
Hillshade_3pm,0.0419336454527805,0.006094432461385474
Hillshade_9am,0.03237399804483287,0.004615804520176204
Soil_Type6,0.02583433426634789,0.002904026176846419
Soil_Type4,0.025550596746511552,0.003033112118850879
Soil_Type11,0.02487383486753745,0.0029579615090867413
Soil_Type2,0.020208828066743425,0.0023566717178114573
Soil_Type3,0.01844768968021647,0.002082694789287802
Vertical_Distance_To_Hydrology,0.014890851909236884,0.0020843579724051987
Soil_Type13,0.014505661886736451,0.001778395265412929
Soil_Type33,0.013804958114120348,0.0017146351827856546
Soil_Type38,0.013728962280390746,0.0016811075541846672
Soil_Type30,0.01213005857773161,0.0015028186960229766
Soil_Type32,0.011826762853863998,0.0014716382163567337
Soil_Type17,0.011474939224044493,0.0013114918452259022
Soil_Type31,0.010701234030481167,0.0013252424258431324
Soil_Type1,0.010377129141263418,0.0011840191016003559
Soil_Type12,0.009880068938085986,0.0012261425416757463
Aspect,0.009762879107386371,0.0013794168986417995
Horizontal_Distance_To_Hydrology,0.009185002229245169,0.002831024081926403
Soil_Type18,0.008282188822174307,0.0009175796258764559
Soil_Type19,0.008022186301999896,0.0009540934225619622
Soil_Type20,0.007768365705039903,0.0009516648087759625
Soil_Type5,0.005271679160314401,0.0006041495300149781
Soil_Type39,0.005010906835196901,0.0006210603990700176
Soil_Type9,0.004196936226132939,0.0004758768100666974
Soil_Type22,0.003636640546869474,0.0004535106345418885
Soil_Type28,0.003368011847813068,0.0003826003245080215
Soil_Type14,0.00183088934339542,0.00021146562976901256
Soil_Type34,0.0017233783842016265,0.00020981553772074263
Soil_Type40,0.0016724863495679511,0.0002081261549540651
Soil_Type21,0.001376637838427686,0.00016497766419858544
Soil_Type25,0.0011665116547835879,0.00013707826900064175
Soil_Type35,0.0004036930503491988,5.0197066153433514e-05
Soil_Type24,0.00031166257823266996,3.894502639248561e-05
Soil_Type16,0.00024835971089063864,3.097908751213495e-05
Horizontal_Distance_To_Roadways,0.00023792352496563842,0.4012727430469908
Soil_Type27,0.00022286397223457197,2.7720455663553017e-05
Soil_Type15,0.0001667806791436833,3.5790044025013787e-06
Soil_Type26,8.498679618550448e-06,1.0622500516491975e-06
Soil_Type23,4.532254504821363e-06,5.665309384009589e-07
Soil_Type8,0.0,0.0002314977077423329
Soil_Type7,0.0,0.00012408798876944018
Soil_Type36,0.0,0.00014318129495715433
Soil_Type37,0.0,0.0003842995713614857
