feature,psi,js_divergence
HvyAlcoholConsump,0.35126503465389436,0.03317175522119651
Income,0.28369026988889756,0.03786985192061308
Sex,0.2516284219263154,0.031087655237632288
NoDocbcCost,0.17965172265124107,0.02078981945113139
AnyHealthcare,0.1600947145412397,0.01754231102291638
Education,0.14599127849834084,0.024888817559715455
HighChol,0.12099503035163825,0.015042426678512757
Age,0.11202093679900077,0.013898216250276504
HighBP,0.11004670528986618,0.013688648476244021
MentHlth,0.10724096020253161,0.013789465899762363
CholCheck,0.10675357748400695,0.011527091647198694
GenHlth,0.09147022786560818,0.011494116443095144
Stroke,0.08574615708248225,0.009678443906496822
Veggies,0.06579881436144125,0.008147652969420764
PhysActivity,0.040838103340899795,0.00508431953295015
PhysHlth,0.018027845257515177,0.0024687531143782766
Smoker,0.017984133651300804,0.0022462564494826823
Fruits,0.01518852751203182,0.001897018407341645
HeartDiseaseorAttack,0.011864916833985172,0.0014765467436434442
DiffWalk,0.005780952201261319,0.0007219085648252511
BMI,0.0023290708568453546,0.0006786216744322088
