feature,psi,js_divergence
DiffWalk,0.2995794026655713,0.035335524227019036
GenHlth,0.2537215979325821,0.05955230062408519
MentHlth,0.1914809220035728,0.024112635352697698
Income,0.08584075787616291,0.010904203938247741
PhysActivity,0.04719190724141106,0.005870397661175784
NoDocbcCost,0.04603728238772464,0.005642101178912262
BMI,0.042060139646439336,0.006284268227429482
HeartDiseaseorAttack,0.04057677061811482,0.0049963638373196565
HighBP,0.036668850054246416,0.004576024636929521
Stroke,0.026887320162370158,0.00327346876874401
HighChol,0.02651362989666632,0.003310203991580409
Smoker,0.013610331143018118,0.001700277108374875
Education,0.012963816229025578,0.0024458862557069742
Sex,0.010974260119926652,0.0013711185979731512
Fruits,0.004792455807353284,0.0005989005746423488
Veggies,0.0039031976234028464,0.00048761788401425945
Age,0.0028277128017962574,0.00040021056388113343
CholCheck,0.0017839333349577691,0.00022258058742891476
HvyAlcoholConsump,0.0008859599200260115,0.00011068013980075641
AnyHealthcare,8.656969256272217e-05,1.0820492687326952e-05
PhysHlth,0.0,0.3053490831416231
