feature,psi,js_divergence
C3,0.0011945367932835599,0.00016326905479588654
C2,0.0009255577546651258,0.00013629254669157102
C5,0.000602057711555406,0.00010024050844732789
C4,0.00048024102016379003,7.212561271542151e-05
C1,0.00012701476637508243,0.39501381413571823
S2,2.7136218934780128e-05,3.4388920478922898e-06
S5,1.7494750558422067e-05,2.6720377765692576e-06
S3,5.887891603465685e-06,7.414652230041007e-07
S4,5.775611994602595e-06,2.0687068043564517e-06
S1,3.9234527476065895e-06,2.2727567496860757e-06
