split,class_id,class_label,count,fraction
train,0,1,39788,0.98
train,1,2,5,0.0001231527093596059
train,2,3,15,0.00036945812807881776
train,3,4,568,0.013990147783251231
train,4,5,221,0.005443349753694582
train,5,6,1,2.4630541871921184e-05
train,6,7,2,4.926108374384237e-05
val,0,1,2868,0.3296551724137931
val,1,2,21,0.002413793103448276
val,2,3,73,0.008390804597701149
val,3,4,4164,0.4786206896551724
val,4,5,1562,0.17954022988505747
val,5,6,6,0.000689655172413793
val,6,7,6,0.000689655172413793
test,0,1,2930,0.3367816091954023
test,1,2,24,0.002758620689655172
test,2,3,83,0.00954022988505747
test,3,4,4171,0.47942528735632184
test,4,5,1484,0.17057471264367816
test,5,6,3,0.0003448275862068965
test,6,7,5,0.0005747126436781609
