split,class_id,class_label,count,fraction
train,0,1,13769,0.949979301780047
train,1,2,3,0.00020698219953084034
train,2,3,11,0.0007589347316130813
train,3,4,507,0.03497999172071202
train,4,5,204,0.014074789568097143
val,0,1,20725,0.7332649306538352
val,1,2,34,0.001202943673931503
val,2,3,103,0.003644211718086612
val,3,4,5452,0.1928955561845457
val,4,5,1950,0.0689923577696009
test,0,1,11092,0.7288258098429594
test,1,2,13,0.0008541954136277022
test,2,3,57,0.003745318352059925
test,3,4,2944,0.19344240751691963
test,4,5,1113,0.07313226887443328
